postal_code;municipality;rent;size
33710;Tampere;805;57.5
00790;Helsinki;760;31.5
00530;Helsinki;939;39
00530;Helsinki;939;39
01150;Sipoo;1300;75
00130;Helsinki;2600;108
33710;Tampere;798;57
33710;Tampere;798;57
00500;Helsinki;1300;54
00350;Helsinki;1177;49
20100;Turku;650;43
04400;Järvenpää;550;33.5
15200;Lahti;771;54.5
15200;Lahti;771;54.5
00380;Helsinki;1140;47.5
33200;Tampere;660;44
00400;Helsinki;720;30
00550;Helsinki;695;29
40700;Jyväskylä;691;47
33540;Tampere;650;43.1
02600;Espoo;1144;51
20100;Turku;890;66
20500;Turku;774;55
33580;Tampere;480;27
40100;Jyväskylä;832;43
40100;Jyväskylä;832;43
40100;Jyväskylä;832;43
00140;Helsinki;850;35.5
00100;Helsinki;2500;104.5
00220;Helsinki;1566;65.5
00220;Helsinki;1314;55
00180;Helsinki;1203.6;50.5
15200;Lahti;767;54.5
70200;Kuopio;835;61
70200;Kuopio;835;61
70200;Kuopio;835;61
33710;Tampere;798;57.5
15200;Lahti;735;51.5
00100;Helsinki;4500;189
00150;Helsinki;1190;50
33540;Tampere;625;41
00220;Helsinki;1190;50
02600;Espoo;1122;50
00200;Helsinki;690;29
70200;Kuopio;948;72
00920;Helsinki;630;26.5
33900;Tampere;540;33
00250;Helsinki;1200;50.5
02320;Espoo;990;42
02650;Espoo;1087;48
00260;Helsinki;1200;50.5
53100;Lappeenranta;820;60
20100;Turku;1200;96.5
90100;Oulu;950;72.5
00400;Helsinki;1295;54.5
00840;Helsinki;700;29.5
15140;Lahti;590;38
33230;Tampere;782.16;56.5
15200;Lahti;730;51.5
15200;Lahti;730;51.5
40100;Jyväskylä;824;43
40100;Jyväskylä;824;43
40100;Jyväskylä;824;43
40100;Jyväskylä;824;43
00990;Helsinki;961;40.5
33210;Tampere;683;47
20100;Turku;475;27
00100;Helsinki;2300;97
00120;Helsinki;900;38
40700;Jyväskylä;859;64
00150;Helsinki;1420;60
04430;Järvenpää;750;45
05830;Hyvinkää;630;42
00220;Helsinki;1135;48
00140;Helsinki;1250;53
02230;Espoo;1990;104.5
26200;Rauma;1500;126
33210;Tampere;681;47
04200;Kerava;750;38
02230;Espoo;1248;58.5
20500;Turku;748;53.5
70100;Kuopio;1027;80.5
20100;Turku;670;46
33500;Tampere;650;44.1
15210;Lahti;1295;106.5
00500;Helsinki;790;33.5
00250;Helsinki;1120;47.5
15200;Lahti;757;54.5
00250;Helsinki;800;34
15140;Lahti;405;20.5
00380;Helsinki;1129;48
04200;Kerava;685;40
33540;Tampere;750;54
05800;Hyvinkää;920;70.5
53900;Lappeenranta;956;74
20100;Turku;420;22
33200;Tampere;420;22
00350;Helsinki;1339;57
40100;Jyväskylä;817;43
40100;Jyväskylä;817;43
40700;Jyväskylä;677;47
13500;Hämeenlinna;1268.15;104.5
04400;Järvenpää;750;45.5
20700;Turku;450;25
20500;Turku;645;44
00530;Helsinki;1150;49
40100;Jyväskylä;730;37
00510;Helsinki;960;41
20520;Turku;593;39
33800;Tampere;480;28
15100;Lahti;798;59
11100;Riihimäki;890;68
15140;Lahti;495;29.5
02750;Espoo;2900;163
00100;Helsinki;1100;47
05800;Hyvinkää;730;52.5
00530;Helsinki;1170;50
02100;Espoo;1750;101
33400;Tampere;504;30.5
00250;Helsinki;980;42
02230;Espoo;1161;54
02230;Espoo;1161;54
00530;Helsinki;1177;50.5
20740;Turku;800;59.5
04300;Tuusula;978;77
40100;Jyväskylä;810;43
40100;Jyväskylä;810;43
00220;Helsinki;1363;58.5
00160;Helsinki;1140;49
33900;Tampere;426;23
00560;Helsinki;1600;69
02230;Espoo;1078;49
02400;Kirkkonummi;568;37
00530;Helsinki;950;41
15200;Lahti;746;54.5
00500;Helsinki;1031;44.5
00370;Helsinki;716;31
00610;Helsinki;900;39
00530;Helsinki;992;43
33210;Tampere;750;55
00560;Helsinki;1187;51.5
00150;Helsinki;1800;78.1
00550;Helsinki;850;37
00150;Helsinki;700;30.5
00160;Helsinki;1308;57
00540;Helsinki;1800;78.5
